v_mps,a_deg,b_m,chi,mu,U_max,step_of_Umax,contact_len_s,max_overlap_m,UW_max
0.5,86.0,0.0,4.0,0.47,0.0,90600.0,0.0003799999999999,3.731685057336426e-05,0.2929177428646803
0.5,90.0,0.0,4.0,0.47,0.0,48200.0,0.0003799999999999,3.7309059459179894e-05,0.2862662025326696
0.6,-90.0,0.0,4.0,0.47,0.0,40700.0,0.00037,4.31102972773198e-05,0.3560604152928751
0.6,-86.0,0.0,4.0,0.47,0.0,76000.0,0.00037,4.317140550252896e-05,0.3644527104826613
0.6,-82.0,0.0,4.0,0.47,0.0,109100.0,0.0003599999999999,4.336771428642416e-05,0.3734525025596711
0.6,-78.0,0.0,4.0,0.47,0.0,140000.0,0.0003599999999999,4.359095401271912e-05,0.3819460386390875
0.6,-74.0,0.0,4.0,0.47,0.0,168600.0,0.00037,4.3960335310816445e-05,0.3917180480050498
0.6,-70.0,0.0,4.0,0.47,0.0042668660057022,166900.0,7.999999999999999e-05,6.549096551868722e-06,0.011072089849908
0.6,-66.0,0.0,4.0,0.47,0.0046844577679183,166900.0,8.999999999999999e-05,6.735172885800195e-06,0.0136353104684311
0.6,-62.0,0.0,4.0,0.47,0.0054437015541676,167100.0,0.0001,6.7705147336373506e-06,0.0167438401482503
0.6,-58.0,0.0,4.0,0.47,0.0072029724208146,167200.0,0.00013,6.907445023556641e-06,0.0222159824021907
0.6,-54.0,0.0,4.0,0.47,0.0114774401500782,167500.0,0.0001899999999999,9.317088093572372e-06,0.0354299730420013
0.6,-50.0,0.0,4.0,0.47,0.0563153001736537,169600.0,0.00049,2.6568255180599992e-05,0.172391462821216
0.6,-46.0,0.0,4.0,0.47,0.0989850383752429,169200.0,0.00049,3.835040080353569e-05,0.2952369023969528
0.6,-42.0,0.0,4.0,0.47,0.1068581728659725,169100.0,0.00049,4.033572627932039e-05,0.3139384355189527
0.6,-38.0,0.0,4.0,0.47,0.1138340381728306,169200.0,0.00049,4.2054733737251215e-05,0.3302516326489689
0.6,-34.0,0.0,4.0,0.47,0.121223385725923,169200.0,0.00049,4.387048434438545e-05,0.3466827603526507
0.6,-30.0,0.0,4.0,0.47,0.1281137163042574,169200.0,0.00049,4.54443336942896e-05,0.362082975598165
0.6,-26.0,0.0,4.0,0.47,0.1344197993881693,169200.0,0.00049,4.696571260395452e-05,0.3761575380896939
0.6,-22.0,0.0,4.0,0.47,0.1401354310725669,169200.0,0.00049,4.821878995247067e-05,0.3888717541195647
0.6,-18.0,0.0,4.0,0.47,0.1451231232280938,169200.0,0.00049,4.9254562344360625e-05,0.3999410995580369
0.6,-14.0,0.0,4.0,0.47,0.1492627595412097,169200.0,0.00049,5.016419693834942e-05,0.4091129455392123
0.6,-10.0,0.0,4.0,0.47,0.1524551150015692,169200.0,0.00049,5.0888674684366336e-05,0.4161791249596444
0.6,-6.0,0.0,4.0,0.47,0.1546248126093064,169200.0,0.00049,5.128637827784069e-05,0.4209768421847165
0.6,-2.0,0.0,4.0,0.47,0.1557221929522859,169200.0,0.00049,5.156082973017603e-05,0.4234023245678896
0.6,2.0,0.0,4.0,0.47,0.1557221929522859,169200.0,0.00049,5.156082973017603e-05,0.4234023245678896
0.6,6.0,0.0,4.0,0.47,0.1546248126093064,169200.0,0.00049,5.128637827784069e-05,0.4209768421847165
0.6,10.0,0.0,4.0,0.47,0.1524551150015692,169200.0,0.00049,5.0888674684366336e-05,0.4161791249596444
0.6,14.0,0.0,4.0,0.47,0.1492627595412097,169200.0,0.00049,5.016419693834942e-05,0.4091129455392123
0.6,18.0,0.0,4.0,0.47,0.1451231232280938,169200.0,0.00049,4.9254562344360625e-05,0.3999410995580369
0.6,22.0,0.0,4.0,0.47,0.1401354310725669,169200.0,0.00049,4.821878995247067e-05,0.3888717541195647
0.6,26.0,0.0,4.0,0.47,0.1344197993881693,169200.0,0.00049,4.696571260395452e-05,0.3761575380896939
0.6,30.0,0.0,4.0,0.47,0.1281137163042574,169200.0,0.00049,4.54443336942896e-05,0.362082975598165
0.6,34.0,0.0,4.0,0.47,0.121223385725923,169200.0,0.00049,4.387048434438545e-05,0.3466827603526507
0.6,38.0,0.0,4.0,0.47,0.1138340381728306,169200.0,0.00049,4.2054733737251215e-05,0.3302516326489689
0.6,42.0,0.0,4.0,0.47,0.1068581728659725,169100.0,0.00049,4.033572627932039e-05,0.3139384355189527
0.6,46.0,0.0,4.0,0.47,0.0989850383752429,169200.0,0.00049,3.835040080353569e-05,0.2952369023969528
0.6,50.0,0.0,4.0,0.47,0.0563153001736537,169600.0,0.00049,2.6568255180599992e-05,0.172391462821216
0.6,54.0,0.0,4.0,0.47,0.0114774401500782,167500.0,0.0001899999999999,9.317088093572372e-06,0.0354299730420013
0.6,58.0,0.0,4.0,0.47,0.0072029724208146,167200.0,0.00013,6.907445023556641e-06,0.0222159824021907
0.6,62.0,0.0,4.0,0.47,0.0054437015541676,167100.0,0.0001,6.7705147336373506e-06,0.0167438401482503
0.6,66.0,0.0,4.0,0.47,0.0046844577679183,166900.0,8.999999999999999e-05,6.735172885800195e-06,0.0136353104684311
0.6,70.0,0.0,4.0,0.47,0.0042668660057022,166900.0,7.999999999999999e-05,6.549096551868722e-06,0.011072089849908
0.6,74.0,0.0,4.0,0.47,0.0,168600.0,0.00037,4.3960335310816445e-05,0.3917180480050498
0.6,78.0,0.0,4.0,0.47,0.0,140000.0,0.0003599999999999,4.359095401271912e-05,0.3819460386390875
0.6,82.0,0.0,4.0,0.47,0.0,109100.0,0.0003599999999999,4.336771428642416e-05,0.3734525025596711
0.6,86.0,0.0,4.0,0.47,0.0,76000.0,0.00037,4.317140550252896e-05,0.3644527104826613
